car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Grand i10 Magna,₹ 6.12 Lakh,"39,664 km",CNG,Delhi,2023
Audi A4 35 TDI,₹ 35.18 Lakh,"73,423 km",Petrol,Mumbai,2021
Toyota Fortuner 2.8 4x2,₹ 9.61 Lakh,"64,654 km",CNG,Thane,2020
BMW X1 sDrive20d,₹ 38.13 Lakh,"115,788 km",Diesel,Bangalore,2016
Mahindra Thar LX,₹ 3.45 Lakh,"153,405 km",Petrol,Delhi,2014
Mahindra Thar LX,₹ 9.49 Lakh,"84,895 km",Diesel,Mumbai,2021
Audi A4 35 TDI,₹ 33.13 Lakh,"109,796 km",Petrol,Noida,2018
Hyundai Grand i10 Magna,₹ 5.54 Lakh,"57,749 km",Petrol,Pune,2022
Toyota Glanza G,₹ 8.03 Lakh,"98,018 km",Diesel,Bangalore,2018
Toyota Innova Crysta GX,₹ 11.68 Lakh,"57,790 km",CNG,Delhi,2023
Honda BR-V VX,₹ 6.56 Lakh,"41,435 km",Diesel,Thane,2023
Mahindra XUV500 W8,₹ 4.09 Lakh,"150,359 km",Petrol,Ahmedabad,2015
Hyundai Creta SX,₹ 3.98 Lakh,"72,439 km",CNG,Kolkata,2021
BMW 3 Series 320d,₹ 38.17 Lakh,"117,687 km",Diesel,Hyderabad,2016
Audi Q3 Premium,₹ 37.56 Lakh,"18,904 km",Petrol,Ahmedabad,2023
Honda BR-V VX,₹ 4.36 Lakh,"76,010 km",Petrol,Mumbai,2019
Honda Jazz VX,₹ 7.11 Lakh,"49,161 km",Diesel,Noida,2022
Audi Q3 Premium,₹ 35.97 Lakh,"79,042 km",Diesel,Delhi,2020
Audi Q3 Premium,₹ 36.55 Lakh,"47,630 km",Diesel,Kolkata,2022
Tata Harrier XZ,₹ 5.71 Lakh,"85,439 km",Petrol,Pune,2020
Audi Q5 quattro,₹ 31.39 Lakh,"148,664 km",Diesel,Noida,2015
Maruti Suzuki Swift VXi,₹ 1.20 Lakh,"129,672 km",Diesel,Hyderabad,2017
Mercedes-Benz C-Class C200,₹ 45.65 Lakh,"158,495 km",Diesel,Bangalore,2013
Audi A4 35 TDI,₹ 33.33 Lakh,"103,061 km",Petrol,Hyderabad,2016
Toyota Innova Crysta GX,₹ 7.79 Lakh,"118,377 km",Diesel,Thane,2018
Toyota Fortuner 2.8 4x2,₹ 4.50 Lakh,"160,470 km",Diesel,Mumbai,2013
Toyota Corolla Altis G,₹ 4.45 Lakh,"155,805 km",Petrol,Hyderabad,2015
Maruti Suzuki Vitara Brezza VDi,₹ 1.20 Lakh,"161,850 km",CNG,Hyderabad,2013
BMW 3 Series 320d,₹ 40.43 Lakh,"95,934 km",Petrol,Hyderabad,2020
Kia Seltos GTX,₹ 2.35 Lakh,"181,759 km",Petrol,Chennai,2013
Kia Sonet GTX,₹ 9.81 Lakh,"57,467 km",CNG,Delhi,2023
Mahindra XUV500 W8,₹ 4.44 Lakh,"142,832 km",Petrol,Hyderabad,2015
Honda WR-V VX,₹ 1.20 Lakh,"147,376 km",Petrol,Kolkata,2014
Audi A4 35 TDI,₹ 30.11 Lakh,"181,952 km",Diesel,Delhi,2012
Toyota Fortuner 2.8 4x2,₹ 7.79 Lakh,"92,711 km",Diesel,Mumbai,2018
Maruti Suzuki Ertiga VXI CNG,₹ 1.20 Lakh,"125,749 km",Diesel,Pune,2016
Audi Q5 quattro,₹ 38.28 Lakh,"33,239 km",Diesel,Mumbai,2023
Audi A4 35 TDI,₹ 36.88 Lakh,"41,651 km",Petrol,Mumbai,2023
BMW X1 sDrive20d,₹ 39.72 Lakh,"93,778 km",Diesel,Bangalore,2020
Hyundai Santro Sportz,₹ 1.20 Lakh,"162,518 km",Diesel,Delhi,2015
Mercedes-Benz C-Class C200,₹ 51.43 Lakh,"51,176 km",Petrol,Noida,2021
Mahindra Thar LX,₹ 4.43 Lakh,"127,666 km",CNG,Ahmedabad,2015
Kia Seltos GTX,₹ 9.93 Lakh,"44,902 km",Petrol,Mumbai,2022
Mercedes-Benz C-Class C200,₹ 45.17 Lakh,"150,492 km",Diesel,Thane,2013
Mahindra XUV500 W8,₹ 4.95 Lakh,"132,201 km",CNG,Pune,2015
Audi A4 35 TDI,₹ 37.46 Lakh,"58,140 km",Petrol,Delhi,2022
Honda Amaze VX,₹ 1.20 Lakh,"176,206 km",Petrol,Pune,2013
Toyota Innova Crysta GX,₹ 5.92 Lakh,"124,373 km",CNG,Pune,2015
Tata Nexon XZ+,₹ 1.20 Lakh,"146,000 km",Petrol,Mumbai,2013
Honda Amaze VX,₹ 1.20 Lakh,"132,140 km",CNG,Kolkata,2014
Kia Carens Prestige,₹ 2.06 Lakh,"195,054 km",CNG,Bangalore,2012
Mahindra Scorpio S11,₹ 7.38 Lakh,"95,686 km",Petrol,Chennai,2020
Tata Tiago XT,₹ 1.20 Lakh,"179,634 km",Petrol,Delhi,2012
Audi Q3 Premium,₹ 37.15 Lakh,"60,111 km",Diesel,Hyderabad,2021
Honda WR-V VX,₹ 1.20 Lakh,"184,713 km",Diesel,Hyderabad,2012
Hyundai Venue S,₹ 1.20 Lakh,"197,634 km",Diesel,Hyderabad,2012
BMW 5 Series 520d,₹ 37.72 Lakh,"135,420 km",Diesel,Mumbai,2016
Kia Sonet GTX,₹ 5.41 Lakh,"103,046 km",Petrol,Pune,2016
Audi Q3 Premium,₹ 37.58 Lakh,"67,771 km",Diesel,Delhi,2022
Tata Harrier XZ,₹ 5.89 Lakh,"63,242 km",Diesel,Mumbai,2021
Kia Sonet GTX,₹ 10.58 Lakh,"43,915 km",CNG,Delhi,2023
Mercedes-Benz C-Class C200,₹ 47.08 Lakh,"112,484 km",Diesel,Chennai,2016
Audi Q5 quattro,₹ 37.57 Lakh,"59,248 km",Diesel,Ahmedabad,2023
Mahindra Scorpio S11,₹ 6.70 Lakh,"105,809 km",CNG,Delhi,2017
Tata Tiago XT,₹ 6.83 Lakh,"42,785 km",Diesel,Thane,2022
Kia Carens Prestige,₹ 7.05 Lakh,"107,628 km",CNG,Bangalore,2018
Tata Safari XZ+,₹ 5.68 Lakh,"82,128 km",Petrol,Chennai,2020
Mercedes-Benz GLA 220d,₹ 48.08 Lakh,"104,167 km",Petrol,Kolkata,2017
Toyota Corolla Altis G,₹ 8.85 Lakh,"97,256 km",CNG,Bangalore,2019
Tata Tiago XT,₹ 1.20 Lakh,"131,714 km",Petrol,Pune,2013
Toyota Fortuner 2.8 4x2,₹ 2.72 Lakh,"206,049 km",CNG,Delhi,2012
Mercedes-Benz C-Class C200,₹ 52.27 Lakh,"50,875 km",Petrol,Kolkata,2023
Honda City VX,₹ 1.20 Lakh,"162,498 km",CNG,Thane,2013
Audi A4 35 TDI,₹ 30.58 Lakh,"152,700 km",Petrol,Bangalore,2013
Audi Q5 quattro,₹ 36.73 Lakh,"56,738 km",Petrol,Noida,2021
Audi Q3 Premium,₹ 35.37 Lakh,"95,360 km",Petrol,Bangalore,2020
BMW 5 Series 520d,₹ 37.22 Lakh,"125,256 km",Petrol,Thane,2016
Toyota Innova Crysta GX,₹ 8.54 Lakh,"66,033 km",Petrol,Pune,2019
Mahindra Thar LX,₹ 8.94 Lakh,"83,001 km",Diesel,Bangalore,2020
Hyundai Venue S,₹ 2.07 Lakh,"104,327 km",Diesel,Thane,2018
