car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Ford EcoSport Titanium,₹ 9.03 Lakh,"101,930 km",Diesel,Pune,2018
Mercedes-Benz C-Class C200,₹ 17.08 Lakh,"172,328 km",Petrol,Ahmedabad,2012
Jeep Compass Limited,₹ 31.88 Lakh,"3,000 km",Diesel,Thane,2025
Jaguar F-Pace,₹ 22.73 Lakh,"160,533 km",Hybrid,Bangalore,2012
Jeep Compass Limited,₹ 21.12 Lakh,"93,415 km",CNG,Mumbai,2020
Jaguar XE Prestige,₹ 33.69 Lakh,"128,426 km",Petrol,Kochi,2017
Kia Sonet GTX,₹ 12.49 Lakh,"27,423 km",Petrol,Kolkata,2022
MG Hector Sharp,₹ 15.47 Lakh,"39,824 km",Diesel,Delhi,2023
Mercedes-Benz E-Class E220d,₹ 34.80 Lakh,"116,089 km",Hybrid,Delhi,2017
Ford EcoSport Titanium,₹ 8.37 Lakh,"79,289 km",Petrol,Jaipur,2019
Volvo XC60,₹ 26.33 Lakh,"109,851 km",Diesel,Kolkata,2017
Volkswagen Taigun GT,₹ 15.21 Lakh,"23,233 km",Diesel,Bangalore,2023
Skoda Superb L&K,₹ 15.83 Lakh,"103,407 km",Petrol,Ahmedabad,2021
Renault Kwid Climber,₹ 3.59 Lakh,"92,549 km",Petrol,Thane,2019
Hyundai Venue SX,₹ 10.69 Lakh,"27,131 km",Petrol,Lucknow,2024
Tata Altroz XZ,₹ 8.20 Lakh,"134,664 km",Diesel,Mumbai,2018
Volvo XC60,₹ 44.74 Lakh,"31,377 km",Electric,Hyderabad,2023
MG ZS EV,₹ 8.15 Lakh,"150,610 km",Petrol,Lucknow,2015
Volkswagen Taigun GT,₹ 6.12 Lakh,"191,569 km",Diesel,Pune,2012
Mercedes-Benz GLA 200,₹ 50.69 Lakh,"75,648 km",Diesel,Bangalore,2022
Volvo XC60,₹ 34.47 Lakh,"99,223 km",Diesel,Bangalore,2018
Audi A4 35 TDI,₹ 16.51 Lakh,"170,990 km",Petrol,Bangalore,2013
Volvo XC40 Recharge,₹ 27.50 Lakh,"112,808 km",Petrol,Ahmedabad,2017
Renault Triber RXZ,₹ 4.90 Lakh,"113,495 km",Petrol,Delhi,2017
Audi Q3 Premium,₹ 31.37 Lakh,"90,194 km",Diesel,Kochi,2019
Tata Harrier XZ,₹ 6.94 Lakh,"151,293 km",Hybrid,Noida,2015
Volvo XC40 Recharge,₹ 48.14 Lakh,"3,000 km",CNG,Kochi,2024
Tata Punch Creative,₹ 12.47 Lakh,"25,235 km",Petrol,Noida,2024
Ford EcoSport Titanium,₹ 9.83 Lakh,"89,652 km",CNG,Mysuru,2021
Nissan Magnite XV,₹ 4.49 Lakh,"93,709 km",Diesel,Pune,2015
Maruti Suzuki Dzire ZXi,₹ 7.67 Lakh,"92,407 km",Hybrid,Kolkata,2019
Renault Kiger RXZ,₹ 1.68 Lakh,"193,598 km",Petrol,Hyderabad,2013
Ford EcoSport Titanium,₹ 10.67 Lakh,"66,508 km",CNG,Kolkata,2019
Renault Triber RXZ,₹ 3.14 Lakh,"138,828 km",CNG,Delhi,2013
Kia Sonet GTX,₹ 6.00 Lakh,"130,588 km",Petrol,Kochi,2014
Nissan Magnite XV,₹ 5.92 Lakh,"56,319 km",Petrol,Mumbai,2023
Jaguar F-Pace,₹ 58.56 Lakh,"20,196 km",Diesel,Kolkata,2024
Volvo XC40 Recharge,₹ 18.59 Lakh,"157,451 km",Petrol,Kochi,2012
Mahindra Thar LX,₹ 15.34 Lakh,"34,450 km",Petrol,Hyderabad,2025
MG ZS EV,₹ 10.49 Lakh,"152,450 km",Petrol,Ahmedabad,2017
Hyundai i20 Asta,₹ 8.86 Lakh,"76,716 km",Diesel,Lucknow,2019
Mercedes-Benz C-Class C200,₹ 41.57 Lakh,"53,806 km",Petrol,Noida,2020
Tata Harrier XZ,₹ 10.39 Lakh,"37,366 km",Petrol,Kochi,2024
Hyundai i20 Asta,₹ 9.41 Lakh,"47,452 km",Diesel,Noida,2022
Toyota Glanza G,₹ 8.12 Lakh,"143,905 km",Petrol,Kolkata,2015
Honda BR-V VX,₹ 5.88 Lakh,"122,930 km",Diesel,Noida,2017
Kia Carens Prestige,₹ 8.53 Lakh,"108,767 km",Petrol,Hyderabad,2016
Volkswagen Polo GT,₹ 6.85 Lakh,"148,554 km",CNG,Mumbai,2015
Nissan Magnite XV,₹ 3.72 Lakh,"129,992 km",Petrol,Jaipur,2017
Toyota Innova Crysta GX,₹ 14.08 Lakh,"51,879 km",Diesel,Pune,2023
Mahindra Thar LX,₹ 11.92 Lakh,"141,833 km",Electric,Mumbai,2015
MG Hector Sharp,₹ 14.98 Lakh,"37,998 km",Petrol,Noida,2023
Jeep Compass Limited,₹ 18.07 Lakh,"105,976 km",Petrol,Noida,2017
Maruti Suzuki Brezza ZXi,₹ 3.64 Lakh,"144,178 km",Diesel,Chennai,2017
Honda City ZX,₹ 8.32 Lakh,"38,944 km",Petrol,Chennai,2024
Tata Punch Creative,₹ 12.31 Lakh,"70,473 km",Petrol,Ahmedabad,2024
Volkswagen Taigun GT,₹ 5.53 Lakh,"132,922 km",Diesel,Pune,2014
